city,population,latitude,longitude
"Palau-solità i Plegamans, Spain",15000,41.5839461,2.1804146
"Palencia, Spain",81000,42.0096857,-4.528801599999952
"Pallejà, Spain",11486,41.4213871,1.9972813
"Pamplona, Spain",205762,42.812526,-1.6457745
"Parets del Vallès, Spain",18893,41.5636447,2.2288957
"Peal de Becerro, Spain",5345,37.9132725,-3.1252776999999696
"Peralada, Spain",1971,42.3083523,3.0094404
"Piera, Spain",18000,41.5217462,1.7502311
"Pizarro, Spain",650,39.15222379480043,-5.791893455364581
"Polinyà, Spain",8300,41.5560111,2.1597595
"Ponferrada, Spain",68530,42.5499958,-6.598259
"Porqueres, Spain",4530,42.1201953,2.7462869999999384
"Pozuelo de Alarcón, Spain",88000,40.4475272,-3.8074152
"Prats i Sansor, Spain",265,42.3644228,1.83671
"Preixana, Spain",400,41.607738,1.0382669
"Preixens, Spain",450,41.7939095,1.0505471999999827
"Premià de Mar, Spain",27944,41.4946642,2.3591531
"Priego de Cordoba, Spain",23528,37.437791,-4.1987434
"Puente Genil, Spain",30072,37.3909975,-4.76656980000007
"Puerto de la Cruz, Spain",30483,28.4127781,-16.5442826
"Quart, Spain",3640,41.93989772839157,2.8397792922309995
"Quart de Poblet, Spain",24800,39.4825816,-0.4448669
"Rafal, Spain",4550,38.1032847,-0.8499524
"Rasquera, Spain",845,41.0019258,0.5985124000000042
"Reus, Spain",106741,41.1498259,1.1055321
"Riba-roja d'Ebre, Spain",1126,41.25102561054102,0.4868022079346019
"Riells i Viabrea, Spain",4000,41.7276681,2.5446701
"Ripoll, Spain",10753,42.1994589,2.1907618
"Ripollet, Spain",39765,41.49845,2.1569325
"Riudaura, Spain",520,42.1888537,2.4085624
"Riudecanyes, Spain",1400,41.1292109,0.9623552
"Riudellots de la Selva (Girona)
, Spain",2000,41.9010061,2.8026192
"Rivas Vaciamadrid, Spain",101806,40.3519065,-3.5357334
"Roda de Berà, Spain",6567,41.1870398,1.4603319
"Roda de Ter, Spain",8510,41.9832444,2.3098386000000346
"Roquetas de Mar, Spain",99838,36.7645786703784,-2.614815073468517
"Roquetes, Spain",8000,40.8209422,0.5020517
"Roses, Spain",19891,42.2605204,3.2080991000000267
"Rota, Spain",29813,36.6236874,-6.360144100000071
"Rubí, Spain",76000,41.4971174,2.0349243
"Sabadell, Spain",207540,41.5462745,2.1086131
"Sagunto, Spain",67173,39.6801121,-0.2784001
"Salamanca, Spain",150000,40.9701039,-5.6635397
"Saldes, Spain",275,42.2293976169581,1.7359077539063037
"Sallent, Spain",7000,41.8271079,1.8922257
"Salou, Spain",26601,41.0777465,1.1315926
"Salt, Spain",33337,41.9726971,2.791944
"San Cristóbal de La Laguna, Spain",153187,28.4874009,-16.3159061
"San Sebastián de los Reyes, Spain",92000,40.5589672,-3.6261976
"Sangüesa, Spain",4909,42.576601,-1.2838429999999337
"Sant Adrià de Besòs, Spain",37000,41.42668,2.2245813
"Sant Andreu de la Barca, Spain",27000,41.4470241,1.9728327
"Sant Andreu de Llavaneres, Spain",11500,41.57420522584698,2.4841163317382886
"Sant Boi de Llobregat, Spain",83667,41.345882,2.0350762
"Sant Cebrià de Vallalta, Spain",8396,41.6198985,2.5997035
"Sant Cugat del Vallès, Spain",92000,41.4526016,2.0763253
"Sant Esteve de Palautordera, Spain",3052,41.7062899,2.4319794
"Sant Feliu de Codines, Spain",6050,41.6956211,2.1597595
"Sant Feliu de Guíxols, Spain",22643,41.78592529999999,3.0317934742187624
"Sant Feliu de Llobregat, Spain",45000,41.3979911,2.0518154
"Sant Fruitós de Bages, Spain",8703,41.75092619999999,1.8746239
"Sant Gregori, Spain",3463,41.989401,2.7607657
"Sant Guim de Freixenet, Spain",1112,41.6560285,1.4205199000000448
"Sant Hilari Sacalm, Spain",5742,41.8784012,2.5121714
"Sant Jaume dels Domenys, Spain",2781,41.2998213,1.559006
"Sant Joan D'Alacant, Spain",25000,38.4020456,-0.4360296
"Sant Joan de  Vilatorrada, Spain",8250,41.742807,1.803803499999958
"Sant Joan Despí, Spain",34123,41.3673523,2.0566806
"Sant Julià de Cerdanyola, Spain",261,42.2155473,1.9050391000000677
"Sant Just Desvern, Spain",20000,41.383333,2.0666616
"Sant Martí d'Albars, Spain",142,42.0284418,2.0731076
"Sant Martí de Tous, Spain",1300,41.5614642,1.5220875
"Sant Pere de Ribes, Spain",32000,41.2596829,1.7757916
"Sant Pere de Riudebitlles, Spain",8776,41.4504992,1.7044013
"Sant Quintí de Mediona, Spain",2300,41.462869,1.6635606
"Sant Quirze de Besora, Spain",2125,42.0999995,2.2224369
